id, start_x, start_y, end_x, end_y
1, 0.00, 3.00, 0.00, 7.90
2, 0.00, 9.90, 0.00, 14.80
3, 0.00, 16.80, 0.00, 21.70
4, 0.00, 23.70, 0.00, 28.60
5, 0.00, 30.60, 0.00, 35.50
6, 0.00, 37.50, 0.00, 42.40
7, 0.00, 44.40, 0.00, 49.30
8, 0.00, 51.30, 0.00, 56.20
9, 0.00, 58.20, 0.00, 63.10
10, 2.50, 3.00, 2.50, 7.90
11, 2.50, 9.90, 2.50, 14.80
12, 2.50, 16.80, 2.50, 21.70
13, 2.50, 23.70, 2.50, 28.60
14, 2.50, 30.60, 2.50, 35.50
15, 2.50, 37.50, 2.50, 42.40
16, 2.50, 44.40, 2.50, 49.30
17, 2.50, 51.30, 2.50, 56.20
18, 2.50, 58.20, 2.50, 63.10
19, 5.00, 3.00, 5.00, 7.90
20, 5.00, 9.90, 5.00, 14.80
21, 5.00, 16.80, 5.00, 21.70
22, 5.00, 23.70, 5.00, 28.60
23, 5.00, 30.60, 5.00, 35.50
24, 5.00, 37.50, 5.00, 42.40
25, 5.00, 44.40, 5.00, 49.30
26, 5.00, 51.30, 5.00, 56.20
27, 5.00, 58.20, 5.00, 63.10
28, 7.50, 3.00, 7.50, 7.90
29, 7.50, 9.90, 7.50, 14.80
30, 7.50, 16.80, 7.50, 21.70
31, 7.50, 23.70, 7.50, 28.60
32, 7.50, 30.60, 7.50, 35.50
33, 7.50, 37.50, 7.50, 42.40
34, 7.50, 44.40, 7.50, 49.30
35, 7.50, 51.30, 7.50, 56.20
36, 7.50, 58.20, 7.50, 63.10
37, 10.00, 3.00, 10.00, 7.90
38, 10.00, 9.90, 10.00, 14.80
39, 10.00, 16.80, 10.00, 21.70
40, 10.00, 23.70, 10.00, 28.60
41, 10.00, 30.60, 10.00, 35.50
42, 10.00, 37.50, 10.00, 42.40
43, 10.00, 44.40, 10.00, 49.30
44, 10.00, 51.30, 10.00, 56.20
45, 10.00, 58.20, 10.00, 63.10
46, 12.50, 3.00, 12.50, 7.90
47, 12.50, 9.90, 12.50, 14.80
48, 12.50, 16.80, 12.50, 21.70
49, 12.50, 23.70, 12.50, 28.60
50, 12.50, 30.60, 12.50, 35.50
51, 12.50, 37.50, 12.50, 42.40
52, 12.50, 44.40, 12.50, 49.30
53, 12.50, 51.30, 12.50, 56.20
54, 12.50, 58.20, 12.50, 63.10
55, 15.00, 3.00, 15.00, 7.90
56, 15.00, 9.90, 15.00, 14.80
57, 15.00, 16.80, 15.00, 21.70
58, 15.00, 23.70, 15.00, 28.60
59, 15.00, 30.60, 15.00, 35.50
60, 15.00, 37.50, 15.00, 42.40
61, 15.00, 44.40, 15.00, 49.30
62, 15.00, 51.30, 15.00, 56.20
63, 15.00, 58.20, 15.00, 63.10
64, 17.50, 3.00, 17.50, 7.90
65, 17.50, 9.90, 17.50, 14.80
66, 17.50, 16.80, 17.50, 21.70
67, 17.50, 23.70, 17.50, 28.60
68, 17.50, 30.60, 17.50, 35.50
69, 17.50, 37.50, 17.50, 42.40
70, 17.50, 44.40, 17.50, 49.30
71, 17.50, 51.30, 17.50, 56.20
72, 17.50, 58.20, 17.50, 63.10
73, 20.00, 3.00, 20.00, 7.90
74, 20.00, 9.90, 20.00, 14.80
75, 20.00, 16.80, 20.00, 21.70
76, 20.00, 23.70, 20.00, 28.60
77, 20.00, 30.60, 20.00, 35.50
78, 20.00, 37.50, 20.00, 42.40
79, 20.00, 44.40, 20.00, 49.30
80, 20.00, 51.30, 20.00, 56.20
81, 20.00, 58.20, 20.00, 63.10
82, 22.50, 3.00, 22.50, 7.90
83, 22.50, 9.90, 22.50, 14.80
84, 22.50, 16.80, 22.50, 21.70
85, 22.50, 23.70, 22.50, 28.60
86, 22.50, 30.60, 22.50, 35.50
87, 22.50, 37.50, 22.50, 42.40
88, 22.50, 44.40, 22.50, 49.30
89, 22.50, 51.30, 22.50, 56.20
90, 22.50, 58.20, 22.50, 63.10
91, 25.00, 3.00, 25.00, 7.90
92, 25.00, 9.90, 25.00, 14.80
93, 25.00, 16.80, 25.00, 21.70
94, 25.00, 23.70, 25.00, 28.60
95, 25.00, 30.60, 25.00, 35.50
96, 25.00, 37.50, 25.00, 42.40
97, 25.00, 44.40, 25.00, 49.30
98, 25.00, 51.30, 25.00, 56.20
99, 25.00, 58.20, 25.00, 63.10
100, 27.50, 3.00, 27.50, 7.90
101, 27.50, 9.90, 27.50, 14.80
102, 27.50, 16.80, 27.50, 21.70
103, 27.50, 23.70, 27.50, 28.60
104, 27.50, 30.60, 27.50, 35.50
105, 27.50, 37.50, 27.50, 42.40
106, 27.50, 44.40, 27.50, 49.30
107, 27.50, 51.30, 27.50, 56.20
108, 27.50, 58.20, 27.50, 63.10
109, 30.00, 3.00, 30.00, 7.90
110, 30.00, 9.90, 30.00, 14.80
111, 30.00, 16.80, 30.00, 21.70
112, 30.00, 23.70, 30.00, 28.60
113, 30.00, 30.60, 30.00, 35.50
114, 30.00, 37.50, 30.00, 42.40
115, 30.00, 44.40, 30.00, 49.30
116, 30.00, 51.30, 30.00, 56.20
117, 30.00, 58.20, 30.00, 63.10
118, 32.50, 3.00, 32.50, 7.90
119, 32.50, 9.90, 32.50, 14.80
120, 32.50, 16.80, 32.50, 21.70
121, 32.50, 23.70, 32.50, 28.60
122, 32.50, 30.60, 32.50, 35.50
123, 32.50, 37.50, 32.50, 42.40
124, 32.50, 44.40, 32.50, 49.30
125, 32.50, 51.30, 32.50, 56.20
126, 32.50, 58.20, 32.50, 63.10
127, 35.00, 3.00, 35.00, 7.90
128, 35.00, 9.90, 35.00, 14.80
129, 35.00, 16.80, 35.00, 21.70
130, 35.00, 23.70, 35.00, 28.60
131, 35.00, 30.60, 35.00, 35.50
132, 35.00, 37.50, 35.00, 42.40
133, 35.00, 44.40, 35.00, 49.30
134, 35.00, 51.30, 35.00, 56.20
135, 35.00, 58.20, 35.00, 63.10
136, 37.50, 3.00, 37.50, 7.90
137, 37.50, 9.90, 37.50, 14.80
138, 37.50, 16.80, 37.50, 21.70
139, 37.50, 23.70, 37.50, 28.60
140, 37.50, 30.60, 37.50, 35.50
141, 37.50, 37.50, 37.50, 42.40
142, 37.50, 44.40, 37.50, 49.30
143, 37.50, 51.30, 37.50, 56.20
144, 37.50, 58.20, 37.50, 63.10
145, 40.00, 3.00, 40.00, 7.90
146, 40.00, 9.90, 40.00, 14.80
147, 40.00, 16.80, 40.00, 21.70
148, 40.00, 23.70, 40.00, 28.60
149, 40.00, 30.60, 40.00, 35.50
150, 40.00, 37.50, 40.00, 42.40
151, 40.00, 44.40, 40.00, 49.30
152, 40.00, 51.30, 40.00, 56.20
153, 40.00, 58.20, 40.00, 63.10
154, 42.50, 3.00, 42.50, 7.90
155, 42.50, 9.90, 42.50, 14.80
156, 42.50, 16.80, 42.50, 21.70
157, 42.50, 23.70, 42.50, 28.60
158, 42.50, 30.60, 42.50, 35.50
159, 42.50, 37.50, 42.50, 42.40
160, 42.50, 44.40, 42.50, 49.30
161, 42.50, 51.30, 42.50, 56.20
162, 42.50, 58.20, 42.50, 63.10
163, 45.00, 3.00, 45.00, 7.90
164, 45.00, 9.90, 45.00, 14.80
165, 45.00, 16.80, 45.00, 21.70
166, 45.00, 23.70, 45.00, 28.60
167, 45.00, 30.60, 45.00, 35.50
168, 45.00, 37.50, 45.00, 42.40
169, 45.00, 44.40, 45.00, 49.30
170, 45.00, 51.30, 45.00, 56.20
171, 45.00, 58.20, 45.00, 63.10
172, 47.50, 3.00, 47.50, 7.90
173, 47.50, 9.90, 47.50, 14.80
174, 47.50, 16.80, 47.50, 21.70
175, 47.50, 23.70, 47.50, 28.60
176, 47.50, 30.60, 47.50, 35.50
177, 47.50, 37.50, 47.50, 42.40
178, 47.50, 44.40, 47.50, 49.30
179, 47.50, 51.30, 47.50, 56.20
180, 47.50, 58.20, 47.50, 63.10
181, 50.00, 3.00, 50.00, 7.90
182, 50.00, 9.90, 50.00, 14.80
183, 50.00, 16.80, 50.00, 21.70
184, 50.00, 23.70, 50.00, 28.60
185, 50.00, 30.60, 50.00, 35.50
186, 50.00, 37.50, 50.00, 42.40
187, 50.00, 44.40, 50.00, 49.30
188, 50.00, 51.30, 50.00, 56.20
189, 50.00, 58.20, 50.00, 63.10
190, 52.50, 3.00, 52.50, 7.90
191, 52.50, 9.90, 52.50, 14.80
192, 52.50, 16.80, 52.50, 21.70
193, 52.50, 23.70, 52.50, 28.60
194, 52.50, 30.60, 52.50, 35.50
195, 52.50, 37.50, 52.50, 42.40
196, 52.50, 44.40, 52.50, 49.30
197, 52.50, 51.30, 52.50, 56.20
198, 52.50, 58.20, 52.50, 63.10
199, 55.00, 3.00, 55.00, 7.90
200, 55.00, 9.90, 55.00, 14.80
201, 55.00, 16.80, 55.00, 21.70
202, 55.00, 23.70, 55.00, 28.60
203, 55.00, 30.60, 55.00, 35.50
204, 55.00, 37.50, 55.00, 42.40
205, 55.00, 44.40, 55.00, 49.30
206, 55.00, 51.30, 55.00, 56.20
207, 55.00, 58.20, 55.00, 63.10
208, 57.50, 3.00, 57.50, 7.90
209, 57.50, 9.90, 57.50, 14.80
210, 57.50, 16.80, 57.50, 21.70
211, 57.50, 23.70, 57.50, 28.60
212, 57.50, 30.60, 57.50, 35.50
213, 57.50, 37.50, 57.50, 42.40
214, 57.50, 44.40, 57.50, 49.30
215, 57.50, 51.30, 57.50, 56.20
216, 57.50, 58.20, 57.50, 63.10
217, 60.00, 3.00, 60.00, 7.90
218, 60.00, 9.90, 60.00, 14.80
219, 60.00, 16.80, 60.00, 21.70
220, 60.00, 23.70, 60.00, 28.60
221, 60.00, 30.60, 60.00, 35.50
222, 60.00, 37.50, 60.00, 42.40
223, 60.00, 44.40, 60.00, 49.30
224, 60.00, 51.30, 60.00, 56.20
225, 60.00, 58.20, 60.00, 63.10
