id, start_x, start_y, end_x, end_y
1, 0.00, 3.00, 0.00, 7.90
2, 0.00, 9.90, 0.00, 14.80
3, 0.00, 16.80, 0.00, 21.70
4, 0.00, 23.70, 0.00, 28.60
5, 0.00, 30.60, 0.00, 35.50
6, 0.00, 37.50, 0.00, 42.40
7, 0.00, 44.40, 0.00, 49.30
8, 2.50, 3.00, 2.50, 7.90
9, 2.50, 9.90, 2.50, 14.80
10, 2.50, 16.80, 2.50, 21.70
11, 2.50, 23.70, 2.50, 28.60
12, 2.50, 30.60, 2.50, 35.50
13, 2.50, 37.50, 2.50, 42.40
14, 2.50, 44.40, 2.50, 49.30
15, 5.00, 3.00, 5.00, 7.90
16, 5.00, 9.90, 5.00, 14.80
17, 5.00, 16.80, 5.00, 21.70
18, 5.00, 23.70, 5.00, 28.60
19, 5.00, 30.60, 5.00, 35.50
20, 5.00, 37.50, 5.00, 42.40
21, 5.00, 44.40, 5.00, 49.30
22, 7.50, 3.00, 7.50, 7.90
23, 7.50, 9.90, 7.50, 14.80
24, 7.50, 16.80, 7.50, 21.70
25, 7.50, 23.70, 7.50, 28.60
26, 7.50, 30.60, 7.50, 35.50
27, 7.50, 37.50, 7.50, 42.40
28, 7.50, 44.40, 7.50, 49.30
29, 10.00, 3.00, 10.00, 7.90
30, 10.00, 9.90, 10.00, 14.80
31, 10.00, 16.80, 10.00, 21.70
32, 10.00, 23.70, 10.00, 28.60
33, 10.00, 30.60, 10.00, 35.50
34, 10.00, 37.50, 10.00, 42.40
35, 10.00, 44.40, 10.00, 49.30
36, 12.50, 3.00, 12.50, 7.90
37, 12.50, 9.90, 12.50, 14.80
38, 12.50, 16.80, 12.50, 21.70
39, 12.50, 23.70, 12.50, 28.60
40, 12.50, 30.60, 12.50, 35.50
41, 12.50, 37.50, 12.50, 42.40
42, 12.50, 44.40, 12.50, 49.30
43, 15.00, 3.00, 15.00, 7.90
44, 15.00, 9.90, 15.00, 14.80
45, 15.00, 16.80, 15.00, 21.70
46, 15.00, 23.70, 15.00, 28.60
47, 15.00, 30.60, 15.00, 35.50
48, 15.00, 37.50, 15.00, 42.40
49, 15.00, 44.40, 15.00, 49.30
50, 17.50, 3.00, 17.50, 7.90
51, 17.50, 9.90, 17.50, 14.80
52, 17.50, 16.80, 17.50, 21.70
53, 17.50, 23.70, 17.50, 28.60
54, 17.50, 30.60, 17.50, 35.50
55, 17.50, 37.50, 17.50, 42.40
56, 17.50, 44.40, 17.50, 49.30
57, 20.00, 3.00, 20.00, 7.90
58, 20.00, 9.90, 20.00, 14.80
59, 20.00, 16.80, 20.00, 21.70
60, 20.00, 23.70, 20.00, 28.60
61, 20.00, 30.60, 20.00, 35.50
62, 20.00, 37.50, 20.00, 42.40
63, 20.00, 44.40, 20.00, 49.30
64, 22.50, 3.00, 22.50, 7.90
65, 22.50, 9.90, 22.50, 14.80
66, 22.50, 16.80, 22.50, 21.70
67, 22.50, 23.70, 22.50, 28.60
68, 22.50, 30.60, 22.50, 35.50
69, 22.50, 37.50, 22.50, 42.40
70, 22.50, 44.40, 22.50, 49.30
71, 25.00, 3.00, 25.00, 7.90
72, 25.00, 9.90, 25.00, 14.80
73, 25.00, 16.80, 25.00, 21.70
74, 25.00, 23.70, 25.00, 28.60
75, 25.00, 30.60, 25.00, 35.50
76, 25.00, 37.50, 25.00, 42.40
77, 25.00, 44.40, 25.00, 49.30
78, 27.50, 3.00, 27.50, 7.90
79, 27.50, 9.90, 27.50, 14.80
80, 27.50, 16.80, 27.50, 21.70
81, 27.50, 23.70, 27.50, 28.60
82, 27.50, 30.60, 27.50, 35.50
83, 27.50, 37.50, 27.50, 42.40
84, 27.50, 44.40, 27.50, 49.30
85, 30.00, 3.00, 30.00, 7.90
86, 30.00, 9.90, 30.00, 14.80
87, 30.00, 16.80, 30.00, 21.70
88, 30.00, 23.70, 30.00, 28.60
89, 30.00, 30.60, 30.00, 35.50
90, 30.00, 37.50, 30.00, 42.40
91, 30.00, 44.40, 30.00, 49.30
92, 32.50, 3.00, 32.50, 7.90
93, 32.50, 9.90, 32.50, 14.80
94, 32.50, 16.80, 32.50, 21.70
95, 32.50, 23.70, 32.50, 28.60
96, 32.50, 30.60, 32.50, 35.50
97, 32.50, 37.50, 32.50, 42.40
98, 32.50, 44.40, 32.50, 49.30
99, 35.00, 3.00, 35.00, 7.90
100, 35.00, 9.90, 35.00, 14.80
101, 35.00, 16.80, 35.00, 21.70
102, 35.00, 23.70, 35.00, 28.60
103, 35.00, 30.60, 35.00, 35.50
104, 35.00, 37.50, 35.00, 42.40
105, 35.00, 44.40, 35.00, 49.30
106, 37.50, 3.00, 37.50, 7.90
107, 37.50, 9.90, 37.50, 14.80
108, 37.50, 16.80, 37.50, 21.70
109, 37.50, 23.70, 37.50, 28.60
110, 37.50, 30.60, 37.50, 35.50
111, 37.50, 37.50, 37.50, 42.40
112, 37.50, 44.40, 37.50, 49.30
113, 40.00, 3.00, 40.00, 7.90
114, 40.00, 9.90, 40.00, 14.80
115, 40.00, 16.80, 40.00, 21.70
116, 40.00, 23.70, 40.00, 28.60
117, 40.00, 30.60, 40.00, 35.50
118, 40.00, 37.50, 40.00, 42.40
119, 40.00, 44.40, 40.00, 49.30
120, 42.50, 3.00, 42.50, 7.90
121, 42.50, 9.90, 42.50, 14.80
122, 42.50, 16.80, 42.50, 21.70
123, 42.50, 23.70, 42.50, 28.60
124, 42.50, 30.60, 42.50, 35.50
125, 42.50, 37.50, 42.50, 42.40
126, 42.50, 44.40, 42.50, 49.30
127, 45.00, 3.00, 45.00, 7.90
128, 45.00, 9.90, 45.00, 14.80
129, 45.00, 16.80, 45.00, 21.70
130, 45.00, 23.70, 45.00, 28.60
131, 45.00, 30.60, 45.00, 35.50
132, 45.00, 37.50, 45.00, 42.40
133, 45.00, 44.40, 45.00, 49.30
134, 47.50, 3.00, 47.50, 7.90
135, 47.50, 9.90, 47.50, 14.80
136, 47.50, 16.80, 47.50, 21.70
137, 47.50, 23.70, 47.50, 28.60
138, 47.50, 30.60, 47.50, 35.50
139, 47.50, 37.50, 47.50, 42.40
140, 47.50, 44.40, 47.50, 49.30
141, 50.00, 3.00, 50.00, 7.90
142, 50.00, 9.90, 50.00, 14.80
143, 50.00, 16.80, 50.00, 21.70
144, 50.00, 23.70, 50.00, 28.60
145, 50.00, 30.60, 50.00, 35.50
146, 50.00, 37.50, 50.00, 42.40
147, 50.00, 44.40, 50.00, 49.30
148, 52.50, 3.00, 52.50, 7.90
149, 52.50, 9.90, 52.50, 14.80
150, 52.50, 16.80, 52.50, 21.70
151, 52.50, 23.70, 52.50, 28.60
152, 52.50, 30.60, 52.50, 35.50
153, 52.50, 37.50, 52.50, 42.40
154, 52.50, 44.40, 52.50, 49.30
155, 55.00, 3.00, 55.00, 7.90
156, 55.00, 9.90, 55.00, 14.80
157, 55.00, 16.80, 55.00, 21.70
158, 55.00, 23.70, 55.00, 28.60
159, 55.00, 30.60, 55.00, 35.50
160, 55.00, 37.50, 55.00, 42.40
161, 55.00, 44.40, 55.00, 49.30
162, 57.50, 3.00, 57.50, 7.90
163, 57.50, 9.90, 57.50, 14.80
164, 57.50, 16.80, 57.50, 21.70
165, 57.50, 23.70, 57.50, 28.60
166, 57.50, 30.60, 57.50, 35.50
167, 57.50, 37.50, 57.50, 42.40
168, 57.50, 44.40, 57.50, 49.30
169, 60.00, 3.00, 60.00, 7.90
170, 60.00, 9.90, 60.00, 14.80
171, 60.00, 16.80, 60.00, 21.70
172, 60.00, 23.70, 60.00, 28.60
173, 60.00, 30.60, 60.00, 35.50
174, 60.00, 37.50, 60.00, 42.40
175, 60.00, 44.40, 60.00, 49.30
176, 62.50, 3.00, 62.50, 7.90
177, 62.50, 9.90, 62.50, 14.80
178, 62.50, 16.80, 62.50, 21.70
179, 62.50, 23.70, 62.50, 28.60
180, 62.50, 30.60, 62.50, 35.50
181, 62.50, 37.50, 62.50, 42.40
182, 62.50, 44.40, 62.50, 49.30
183, 65.00, 3.00, 65.00, 7.90
184, 65.00, 9.90, 65.00, 14.80
185, 65.00, 16.80, 65.00, 21.70
186, 65.00, 23.70, 65.00, 28.60
187, 65.00, 30.60, 65.00, 35.50
188, 65.00, 37.50, 65.00, 42.40
189, 65.00, 44.40, 65.00, 49.30
190, 67.50, 3.00, 67.50, 7.90
191, 67.50, 9.90, 67.50, 14.80
192, 67.50, 16.80, 67.50, 21.70
193, 67.50, 23.70, 67.50, 28.60
194, 67.50, 30.60, 67.50, 35.50
195, 67.50, 37.50, 67.50, 42.40
196, 67.50, 44.40, 67.50, 49.30
197, 70.00, 3.00, 70.00, 7.90
198, 70.00, 9.90, 70.00, 14.80
199, 70.00, 16.80, 70.00, 21.70
200, 70.00, 23.70, 70.00, 28.60
201, 70.00, 30.60, 70.00, 35.50
202, 70.00, 37.50, 70.00, 42.40
203, 70.00, 44.40, 70.00, 49.30
204, 72.50, 3.00, 72.50, 7.90
205, 72.50, 9.90, 72.50, 14.80
206, 72.50, 16.80, 72.50, 21.70
207, 72.50, 23.70, 72.50, 28.60
208, 72.50, 30.60, 72.50, 35.50
209, 72.50, 37.50, 72.50, 42.40
210, 72.50, 44.40, 72.50, 49.30
211, 75.00, 3.00, 75.00, 7.90
212, 75.00, 9.90, 75.00, 14.80
213, 75.00, 16.80, 75.00, 21.70
214, 75.00, 23.70, 75.00, 28.60
215, 75.00, 30.60, 75.00, 35.50
216, 75.00, 37.50, 75.00, 42.40
217, 75.00, 44.40, 75.00, 49.30
218, 77.50, 3.00, 77.50, 7.90
219, 77.50, 9.90, 77.50, 14.80
220, 77.50, 16.80, 77.50, 21.70
221, 77.50, 23.70, 77.50, 28.60
222, 77.50, 30.60, 77.50, 35.50
223, 77.50, 37.50, 77.50, 42.40
224, 77.50, 44.40, 77.50, 49.30
225, 80.00, 3.00, 80.00, 7.90
226, 80.00, 9.90, 80.00, 14.80
227, 80.00, 16.80, 80.00, 21.70
228, 80.00, 23.70, 80.00, 28.60
229, 80.00, 30.60, 80.00, 35.50
230, 80.00, 37.50, 80.00, 42.40
231, 80.00, 44.40, 80.00, 49.30
232, 82.50, 3.00, 82.50, 7.90
233, 82.50, 9.90, 82.50, 14.80
234, 82.50, 16.80, 82.50, 21.70
235, 82.50, 23.70, 82.50, 28.60
236, 82.50, 30.60, 82.50, 35.50
237, 82.50, 37.50, 82.50, 42.40
238, 82.50, 44.40, 82.50, 49.30
239, 85.00, 3.00, 85.00, 7.90
240, 85.00, 9.90, 85.00, 14.80
241, 85.00, 16.80, 85.00, 21.70
242, 85.00, 23.70, 85.00, 28.60
243, 85.00, 30.60, 85.00, 35.50
244, 85.00, 37.50, 85.00, 42.40
245, 85.00, 44.40, 85.00, 49.30
246, 87.50, 3.00, 87.50, 7.90
247, 87.50, 9.90, 87.50, 14.80
248, 87.50, 16.80, 87.50, 21.70
249, 87.50, 23.70, 87.50, 28.60
250, 87.50, 30.60, 87.50, 35.50
251, 87.50, 37.50, 87.50, 42.40
252, 87.50, 44.40, 87.50, 49.30
253, 90.00, 3.00, 90.00, 7.90
254, 90.00, 9.90, 90.00, 14.80
255, 90.00, 16.80, 90.00, 21.70
256, 90.00, 23.70, 90.00, 28.60
257, 90.00, 30.60, 90.00, 35.50
258, 90.00, 37.50, 90.00, 42.40
259, 90.00, 44.40, 90.00, 49.30
260, 92.50, 3.00, 92.50, 7.90
261, 92.50, 9.90, 92.50, 14.80
262, 92.50, 16.80, 92.50, 21.70
263, 92.50, 23.70, 92.50, 28.60
264, 92.50, 30.60, 92.50, 35.50
265, 92.50, 37.50, 92.50, 42.40
266, 92.50, 44.40, 92.50, 49.30
267, 95.00, 3.00, 95.00, 7.90
268, 95.00, 9.90, 95.00, 14.80
269, 95.00, 16.80, 95.00, 21.70
270, 95.00, 23.70, 95.00, 28.60
271, 95.00, 30.60, 95.00, 35.50
272, 95.00, 37.50, 95.00, 42.40
273, 95.00, 44.40, 95.00, 49.30
274, 97.50, 3.00, 97.50, 7.90
275, 97.50, 9.90, 97.50, 14.80
276, 97.50, 16.80, 97.50, 21.70
277, 97.50, 23.70, 97.50, 28.60
278, 97.50, 30.60, 97.50, 35.50
279, 97.50, 37.50, 97.50, 42.40
280, 97.50, 44.40, 97.50, 49.30
