id, start_x, start_y, end_x, end_y
1, 0.00, 3.00, 0.00, 5.80
2, 0.00, 7.80, 0.00, 10.60
3, 0.00, 12.60, 0.00, 15.40
4, 2.50, 3.00, 2.50, 5.80
5, 2.50, 7.80, 2.50, 10.60
6, 2.50, 12.60, 2.50, 15.40
7, 5.00, 3.00, 5.00, 5.80
8, 5.00, 7.80, 5.00, 10.60
9, 5.00, 12.60, 5.00, 15.40
10, 7.50, 3.00, 7.50, 5.80
11, 7.50, 7.80, 7.50, 10.60
12, 7.50, 12.60, 7.50, 15.40
13, 10.00, 3.00, 10.00, 5.80
14, 10.00, 7.80, 10.00, 10.60
15, 10.00, 12.60, 10.00, 15.40
16, 12.50, 3.00, 12.50, 5.80
17, 12.50, 7.80, 12.50, 10.60
18, 12.50, 12.60, 12.50, 15.40
19, 15.00, 3.00, 15.00, 5.80
20, 15.00, 7.80, 15.00, 10.60
21, 15.00, 12.60, 15.00, 15.40
22, 17.50, 3.00, 17.50, 5.80
23, 17.50, 7.80, 17.50, 10.60
24, 17.50, 12.60, 17.50, 15.40
25, 20.00, 3.00, 20.00, 5.80
26, 20.00, 7.80, 20.00, 10.60
27, 20.00, 12.60, 20.00, 15.40
28, 22.50, 3.00, 22.50, 5.80
29, 22.50, 7.80, 22.50, 10.60
30, 22.50, 12.60, 22.50, 15.40
31, 25.00, 3.00, 25.00, 5.80
32, 25.00, 7.80, 25.00, 10.60
33, 25.00, 12.60, 25.00, 15.40
34, 27.50, 3.00, 27.50, 5.80
35, 27.50, 7.80, 27.50, 10.60
36, 27.50, 12.60, 27.50, 15.40
37, 30.00, 3.00, 30.00, 5.80
38, 30.00, 7.80, 30.00, 10.60
39, 30.00, 12.60, 30.00, 15.40
40, 32.50, 3.00, 32.50, 5.80
41, 32.50, 7.80, 32.50, 10.60
42, 32.50, 12.60, 32.50, 15.40
43, 35.00, 3.00, 35.00, 5.80
44, 35.00, 7.80, 35.00, 10.60
45, 35.00, 12.60, 35.00, 15.40
46, 37.50, 3.00, 37.50, 5.80
47, 37.50, 7.80, 37.50, 10.60
48, 37.50, 12.60, 37.50, 15.40
