id, start_x, start_y, end_x, end_y
1, 0.00, 3.00, 0.00, 9.30
2, 0.00, 11.30, 0.00, 17.60
3, 0.00, 19.60, 0.00, 25.90
4, 2.50, 3.00, 2.50, 9.30
5, 2.50, 11.30, 2.50, 17.60
6, 2.50, 19.60, 2.50, 25.90
7, 5.00, 3.00, 5.00, 9.30
8, 5.00, 11.30, 5.00, 17.60
9, 5.00, 19.60, 5.00, 25.90
10, 7.50, 3.00, 7.50, 9.30
11, 7.50, 11.30, 7.50, 17.60
12, 7.50, 19.60, 7.50, 25.90
13, 10.00, 3.00, 10.00, 9.30
14, 10.00, 11.30, 10.00, 17.60
15, 10.00, 19.60, 10.00, 25.90
16, 12.50, 3.00, 12.50, 9.30
17, 12.50, 11.30, 12.50, 17.60
18, 12.50, 19.60, 12.50, 25.90
19, 15.00, 3.00, 15.00, 9.30
20, 15.00, 11.30, 15.00, 17.60
21, 15.00, 19.60, 15.00, 25.90
22, 17.50, 3.00, 17.50, 9.30
23, 17.50, 11.30, 17.50, 17.60
24, 17.50, 19.60, 17.50, 25.90
